[224, 224]_40_8-0.001epoch, loss,acc,precision, recall, f1, auc, kapa, mse, w_mse,              precision_cl, recall_c, f1_c, auc_c, mse_c, isSave,Tue Mar 11 12:02:30 2025
 0.63636364 0.        ],[0.0412844  0.         0.         0.44117647 0.         0.
 0.18918919 0.        ],[0.07563025 0.         0.         0.53571429 0.         0.
 0.29166667 0.        ],[0.56906289 0.56951663 0.6658865  0.90856895 0.66829163 0.65765125
 0.90195195 0.5256166 ],[0.23080838 0.13951188 0.08183154 0.03834466 0.05484927 0.02469234
 0.04476504 0.228135  ],save state!is best acc and save state! 
28,0.0,tensor(0.8505, device='cuda:0'),0.1470722591362126,0.04796511627906977,0.05864340457787266,0.8105795303841234,-1,0.1056421,0.05647067,[0.28571429 0.         0.         0.6        0.         0.
 0.5        0.        ],[0.01834862 0.         0.         0.35294118 0.         0.
 0.45945946 0.        ],[0.03448276 0.         0.         0.44444444 0.         0.
 0.47887324 0.        ],[0.55872582 0.55959806 0.68104566 0.89838587 0.64543386 0.64436536
 0.93133133 0.54220917],[0.23362325 0.13936831 0.08064003 0.03794276 0.05522205 0.02428234
 0.04712025 0.22693783],save state!
30,0.0,tensor(0.8501, device='cuda:0'),0.2901466266291848,0.03343023255813953,0.04867548377504186,0.7955525031970825,-1,0.10823424,0.059413426,[0.28571429 0.         0.         0.46153846 0.         0.
 0.57142857 0.5       ],[0.01834862 0.         0.         0.17647059 0.         0.
 0.32432432 0.00497512],[0.03448276 0.         0.         0.25531915 0.         0.
 0.4137931  0.00985222],[0.53985331 0.53919785 0.66822699 0.78756364 0.65420864 0.70166074
 0.86386386 0.49030115],[0.2345963  0.13848202 0.08049463 0.05436464 0.0555004  0.02504695
 0.04766082 0.2297282 ],save state!
32,0.0,tensor(0.8475, device='cuda:0'),0.17710018141283443,0.06540697674418605,0.09532794513154098,0.800540173708142,-1,0.1076078,0.05838763,[0.38157895 0.         0.         0.4375     0.         0.
 0.64285714 0.        ],[0.13302752 0.         0.         0.20588235 0.         0.
 0.24324324 0.        ],[0.19727891 0.         0.         0.28       0.         0.
 0.35294118 0.        ],[0.54750709 0.56418919 0.65310385 0.8118297  0.62219695 0.66002372
 0.89794795 0.5253255 ],[0.236776   0.13944778 0.08042103 0.05175815 0.05510097 0.02395047
